Filename,Number of Words Added,Time Taken,Collisions,Total Probe,Max Probe,Rehashes
english_large.txt,194433,49.47,192642,31627753,661,0
english_large.txt,194433,2.8,59209,75426,7,0
english_large.txt,101245,TIMEOUT,100981,34258140,991,0
english_large.txt,194433,49.17,192642,31627753,661,0
english_large.txt,194433,2.84,40298,47013,5,0
english_large.txt,194433,2.8,40221,46958,5,0
english_large.txt,194433,50.25,192642,31627753,661,0
english_large.txt,194433,2.54,17516,18648,4,0
english_large.txt,194433,2.57,17540,18699,4,0
english_small.txt,84097,9.2,82467,6229979,323,0
english_small.txt,84097,0.94,12561,14003,4,0
english_small.txt,84097,34.11,83769,23573968,846,0
english_small.txt,84097,8.36,82467,6229979,323,0
english_small.txt,84097,1.0,8253,8836,4,0
english_small.txt,84097,1.0,8217,8784,4,0
english_small.txt,84097,8.55,82467,6229979,323,0
english_small.txt,84097,1.01,3328,3420,3,0
english_small.txt,84097,0.97,3437,3541,2,0
french.txt,202358,23.45,197093,16569022,449,0
french.txt,202358,2.93,63487,81572,6,0
french.txt,202358,66.79,199994,45573926,875,0
french.txt,202358,25.11,197093,16569022,449,0
french.txt,202358,3.22,43389,50812,5,0
french.txt,202358,3.23,42999,50290,5,0
french.txt,202358,24.38,197093,16569022,449,0
french.txt,202358,2.66,19159,20421,4,0
french.txt,202358,2.83,19118,20418,4,0
